"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.69767740354637,0.285,0.205,0,"1","CD3E"
0,1.60449587093035,0.527,0.407,0,"1","NPPC"
0,1.56541309647536,0.519,0.344,0,"1","AZU1"
0,1.48002611916312,0.534,0.421,0,"1","COL9A2"
0,1.39932422066249,0.361,0.304,0,"1","WIF1"
1.07417698149256e-176,1.37127728994108,0.181,0.163,1.02798737128838e-173,"1","KRT16"
4.70557527073761e-41,1.22756710136678,0.138,0.134,4.50323553409589e-38,"1","ATG12"
0,1.1990226622905,0.514,0.411,0,"1","DUSP5"
5.84039074194174e-05,1.10816471517944,0.094,0.106,0.0558925394003825,"1","TWIST2"
0.00514407730675604,1.08710634823947,0.124,0.14,1,"1","TNFRSF18"
0,4.18801637626497,0.717,0.103,0,"2","CALB1"
0,2.81503753687171,0.526,0.12,0,"2","KRT19"
0,2.5694160048565,0.358,0.107,0,"2","AQP3"
0,2.20279092077453,0.396,0.107,0,"2","CDH1"
0,2.16616008000996,0.387,0.108,0,"2","GATA3"
0,2.15800520737544,0.525,0.18,0,"2","CLU"
0,2.14326282200675,0.591,0.202,0,"2","EPCAM"
0,2.10157892714883,0.289,0.133,0,"2","KRT7"
0,1.95682034315541,0.183,0.074,0,"2","SPINK1"
0,1.89639145462467,0.322,0.109,0,"2","TACSTD2"
0,2.13930123277331,0.781,0.304,0,"3","CRYAB"
0,1.83625430287605,0.982,0.533,0,"3","GPX3"
0,1.82939620678786,0.622,0.159,0,"3","IL17RB"
0,1.73082614987094,0.553,0.175,0,"3","PIGR"
0,1.72257421583044,0.784,0.233,0,"3","CXCL14"
0,1.64220912641172,0.611,0.194,0,"3","IL32"
0,1.56506212372194,0.59,0.184,0,"3","SERPINA1"
0,1.55999159651595,0.726,0.214,0,"3","DDC"
0,1.40318237828343,0.512,0.164,0,"3","COTL1"
0,1.39651224355022,0.52,0.156,0,"3","FGFR3"
0,4.52832172416865,0.654,0.089,0,"4","EGF"
0,3.26394400679979,0.36,0.096,0,"4","S100A2"
0,2.11217033226413,0.614,0.222,0,"4","CD24"
0,2.05757673976585,0.742,0.398,0,"4","SPP1"
0,2.02601262482697,0.338,0.095,0,"4","MECOM"
0,2.0096320277716,0.407,0.129,0,"4","CASR"
0,1.88173458707983,0.745,0.312,0,"4","S100A6"
0,1.87041097139571,0.278,0.105,0,"4","ITGB6"
0,1.67774663446957,0.524,0.223,0,"4","COL6A1"
0,1.49104864155926,0.34,0.132,0,"4","KRT7"
0,2.68312166002165,0.479,0.1,0,"5","PECAM1"
0,2.54930865107529,0.501,0.122,0,"5","KDR"
0,2.49160840627251,0.524,0.131,0,"5","FLT1"
0,2.46644028886193,0.578,0.163,0,"5","KLF2"
0,2.46227803757757,0.841,0.285,0,"5","IGFBP5"
0,2.37661831089711,0.303,0.07,0,"5","RAMP3"
0,2.32491810718533,0.359,0.09,0,"5","TEK"
0,2.24599241897031,0.546,0.174,0,"5","TGFBR2"
0,2.21908670280372,0.413,0.117,0,"5","CD34"
0,2.1917212708278,0.606,0.181,0,"5","ENG"
0,1.56396533710817,0.2,0.05,0,"6","RAD51"
0,1.47838715731648,0.173,0.043,0,"6","CENPF"
0,1.36871067819545,0.219,0.058,0,"6","TNFRSF13B"
0,1.34601480471155,0.202,0.054,0,"6","MMP10"
0,1.32424792404524,0.232,0.062,0,"6","SERPINB5"
0,1.32301208589449,0.225,0.061,0,"6","MMP9"
0,1.30080448764065,0.241,0.068,0,"6","PDCD1"
0,1.28615650763539,0.227,0.063,0,"6","IL2RB"
0,1.26705444646264,0.263,0.076,0,"6","TCL1A"
0,1.25928814366056,0.239,0.068,0,"6","TSLP"
0,2.94504082490608,0.207,0.103,0,"7","CCL2"
0,2.76476916498174,0.35,0.121,0,"7","COL3A1"
0,2.74229052635215,0.398,0.225,0,"7","THBS1"
0,2.63450288767962,0.332,0.131,0,"7","COL1A1"
0,2.45334082485522,0.405,0.173,0,"7","C11orf96"
0,2.42483377565201,0.249,0.108,0,"7","COL1A2"
0,2.30054540793289,0.551,0.255,0,"7","MGP"
0,2.1862569950257,0.199,0.096,0,"7","PDGFRA"
0,2.07313417974749,0.144,0.075,0,"7","COL6A3"
0,2.02526865210147,0.395,0.194,0,"7","DCN"
0,1.81927021026874,0.962,0.554,0,"8","GPX3"
0,1.62154046993291,0.421,0.212,0,"8","SERPINA1"
0,1.62018213388855,0.554,0.247,0,"8","DDC"
0,1.6119982139461,0.595,0.269,0,"8","CXCL14"
0,1.56525665553834,0.601,0.336,0,"8","CRYAB"
0,1.50789589104545,0.388,0.194,0,"8","IL17RB"
0,1.45165340749424,0.507,0.318,0,"8","MT1X"
0,1.37063807810502,0.369,0.191,0,"8","AZGP1"
0,1.27553379651009,0.717,0.409,0,"8","SPP1"
0,1.27154256728884,0.552,0.38,0,"8","SQSTM1"
0,4.09721016143802,0.654,0.123,0,"9","PTGDS"
0,3.61524697023629,0.533,0.093,0,"9","SPOCK2"
0,3.46348483822211,0.431,0.091,0,"9","PLA2R1"
0,2.98601597564081,0.518,0.128,0,"9","ITGA3"
0,2.58948434399834,0.489,0.22,0,"9","VEGFA"
0,2.53876916500045,0.507,0.148,0,"9","FGF1"
0,2.37748342813185,0.457,0.169,0,"9","ITGAV"
0,2.34327971324789,0.511,0.191,0,"9","DCN"
0,2.26586131214369,0.314,0.089,0,"9","MXRA8"
0,2.25404866799433,0.223,0.073,0,"9","CHI3L1"
0,3.71554952115107,0.257,0.12,0,"10","IGKC"
0,3.14243400030957,0.543,0.147,0,"10","C1QC"
0,3.07531923448408,0.225,0.124,0,"10","IGHG2"
0,3.04013958267483,0.383,0.107,0,"10","CD163"
0,3.01915574415033,0.258,0.173,0,"10","IGHG1"
0,2.97436351835882,0.511,0.153,0,"10","C1QA"
0,2.54598669918875,0.424,0.157,0,"10","C1QB"
0,2.54377612358277,0.508,0.197,0,"10","HLA-DRA"
0,2.39508438582731,0.482,0.187,0,"10","HLA-DPA1"
0,2.24419624943227,0.267,0.106,0,"10","HLA-DPB1"
0,3.11677264457314,0.241,0.098,0,"11","IL1RL1"
0,2.57507409825733,0.641,0.317,0,"11","IGFBP5"
1.22861351865689e-160,2.04005242163681,0.21,0.161,1.17578313735464e-157,"11","FGF1"
1.49491702390383e-110,2.02317055321469,0.187,0.151,1.43063559187597e-107,"11","KDR"
8.38913820233916e-22,1.7974646338557,0.129,0.119,8.02840525963858e-19,"11","PDGFRB"
7.51481742808448e-46,1.75820338136456,0.21,0.203,7.19168027867684e-43,"11","TGFBR2"
1.28210967924076e-105,1.69303168502227,0.24,0.213,1.2269789630334e-102,"11","ENG"
1.39953469251459e-93,1.6310906166421,0.285,0.282,1.33935470073646e-90,"11","HLA-E"
0.00010724814979469,1.62165574090371,0.125,0.129,0.102636479353519,"11","PECAM1"
0.000279559809054693,1.55720166177049,0.151,0.162,0.267538737265341,"11","FLT1"
0,3.56799527280786,0.474,0.087,0,"12","BATF3"
0,3.49710789147572,0.348,0.077,0,"12","ACKR3"
0,3.37545023236902,0.573,0.125,0,"12","CSF1R"
0,3.34388071913755,0.573,0.127,0,"12","CLEC4A"
0,3.28838791734926,0.27,0.059,0,"12","IL7R"
0,3.21504516940645,0.535,0.128,0,"12","TLR2"
0,3.06868649069555,0.289,0.084,0,"12","TNFSF14"
0,2.93977255292382,0.424,0.11,0,"12","RPS4Y1"
0,2.90247068730221,0.459,0.125,0,"12","FYN"
0,2.8177140993782,0.306,0.104,0,"12","MTOR"
0,2.71652198920556,0.665,0.118,0,"13","COL3A1"
0,2.5695279056145,0.628,0.128,0,"13","COL1A1"
0,2.44258704237007,0.634,0.148,0,"13","C1QC"
0,2.41521131802837,0.561,0.103,0,"13","COL1A2"
0,2.40741114481117,0.538,0.1,0,"13","LUM"
0,2.28604925174903,0.492,0.09,0,"13","PDGFRA"
0,2.28311293441398,0.48,0.106,0,"13","CD163"
0,2.23108150523539,0.622,0.153,0,"13","C1QA"
0,2.15152539562715,0.371,0.071,0,"13","COL6A3"
0,2.01008554112939,0.832,0.277,0,"13","TAGLN"
0,3.87984509633944,0.651,0.089,0,"14","IL1RL1"
0,2.68071104852085,0.283,0.051,0,"14","FABP4"
0,2.49565952767256,0.488,0.11,0,"14","PDGFRB"
0,2.23636494735033,0.363,0.115,0,"14","FN1"
0,2.16443206652214,0.584,0.155,0,"14","SRGN"
9.76656320499786e-286,2.08139046607866,0.122,0.053,9.34660098718295e-283,"14","S100A8"
0,2.03244245908209,0.282,0.095,0,"14","LYZ"
0,1.95222341088036,0.403,0.132,0,"14","RGS2"
0,1.86257376302284,0.477,0.155,0,"14","FGF1"
0,1.84635720530782,0.403,0.129,0,"14","GATA3"
0,3.35251012925366,0.417,0.074,0,"15","CSF2"
0,3.27407516656407,0.262,0.042,0,"15","ADGRE1"
0,3.071783320827,0.292,0.064,0,"15","ADGRD1"
0,2.89032098218785,0.364,0.077,0,"15","KRT4"
0,2.79782379174913,0.261,0.064,0,"15","CLEC5A"
0,2.77256849247431,0.209,0.049,0,"15","CD8B"
0,2.76521177385258,0.408,0.094,0,"15","IL20"
0,2.73407937986546,0.407,0.101,0,"15","CNTFR"
0,2.73041750942043,0.519,0.137,0,"15","IL17D"
0,2.72538491788917,0.281,0.062,0,"15","CEACAM6"
0,4.88087183321348,0.541,0.058,0,"16","MYH11"
0,3.85433435815825,0.442,0.075,0,"16","RGS5"
0,3.4673673450384,0.532,0.133,0,"16","SPARCL1"
0,3.44636110782309,0.453,0.091,0,"16","ACTA2"
0,3.40875074726106,0.717,0.175,0,"16","C11orf96"
0,3.33565445911374,0.634,0.169,0,"16","ADIRF"
0,3.27847740943818,0.793,0.282,0,"16","TAGLN"
0,3.15887179406502,0.654,0.195,0,"16","TPM2"
0,2.96964121440601,0.405,0.1,0,"16","NOTCH3"
0,2.74182275827927,0.44,0.125,0,"16","MYL9"
0,3.45210009839848,0.68,0.09,0,"17","TNFRSF17"
0,3.45062568713995,0.684,0.09,0,"17","KRT13"
0,3.34676944488176,0.62,0.084,0,"17","PSCA"
0,3.07382602086871,0.657,0.105,0,"17","LAIR1"
0,3.04786877526358,0.629,0.098,0,"17","MPO"
0,3.02755523742966,0.609,0.095,0,"17","TNFRSF9"
0,3.027025489999,0.612,0.094,0,"17","CCRL2"
0,2.9755423291761,0.716,0.126,0,"17","LIF"
0,2.96390366165293,0.63,0.108,0,"17","CD53"
0,2.9531412194039,0.662,0.115,0,"17","CD70"
0,2.72578860787873,0.684,0.09,0,"18","BATF3"
0,2.42902615817112,0.755,0.13,0,"18","CSF1R"
0,2.36562763724061,0.731,0.132,0,"18","CLEC4A"
0,2.33290975418168,0.463,0.07,0,"18","ANGPT2"
0,2.2599661028614,0.501,0.079,0,"18","RSPO1"
0,2.25490514307029,0.712,0.132,0,"18","TLR2"
0,2.20478910830462,0.644,0.112,0,"18","RPS4Y1"
0,2.13802521033953,0.575,0.109,0,"18","NR1H4"
0,2.10842193437022,0.446,0.08,0,"18","CXCL17"
0,2.09003947487555,0.544,0.098,0,"18","LYN"
0,2.4063879715874,0.665,0.049,0,"19","RAD51"
0,2.3007675330805,0.604,0.043,0,"19","CENPF"
0,2.01712189528351,0.651,0.059,0,"19","TNFRSF13B"
0,2.01189255207404,0.624,0.055,0,"19","MMP10"
0,1.98698990216708,0.704,0.069,0,"19","PDCD1"
0,1.98333896324022,0.661,0.063,0,"19","CSF3R"
0,1.97884608699755,0.693,0.069,0,"19","TSLP"
0,1.95577173766119,0.706,0.074,0,"19","MRC1"
0,1.95281340315719,0.654,0.062,0,"19","MMP9"
0,1.95104054686878,0.682,0.067,0,"19","TNFSF13B"
0,2.57548828048778,0.689,0.098,0,"20","TNFRSF17"
0,2.50317020622948,0.664,0.099,0,"20","KRT13"
0,2.3767529887546,0.596,0.091,0,"20","PSCA"
0,2.20486465304726,0.594,0.102,0,"20","TNFRSF9"
0,2.19127197471873,0.597,0.101,0,"20","CCRL2"
0,2.19000397463312,0.617,0.106,0,"20","MPO"
0,2.16237362399106,0.641,0.113,0,"20","LAIR1"
0,2.16108488928484,0.655,0.123,0,"20","CD70"
0,2.13508837821722,0.726,0.134,0,"20","LIF"
0,2.12531412634853,0.702,0.145,0,"20","STAT5A"
0,2.21905833597532,0.606,0.098,0,"21","BATF3"
0,2.0016180500407,0.577,0.162,0,"21","CALB1"
0,1.89287446075778,0.674,0.14,0,"21","CLEC4A"
0,1.84362661863194,0.656,0.138,0,"21","CSF1R"
0,1.80428105749274,0.372,0.075,0,"21","ANGPT2"
0,1.79196786726577,0.638,0.139,0,"21","TLR2"
0,1.777053943797,0.391,0.084,0,"21","RSPO1"
0,1.67398318687466,0.552,0.143,0,"21","SMARCB1"
0,1.65422135977303,0.353,0.082,0,"21","GDF3"
0,1.65345606465742,0.483,0.112,0,"21","NOD2"
0,3.8059802580717,0.817,0.086,0,"22","TCL1A"
0,3.55312779415358,0.784,0.1,0,"22","ADGRF1"
0,3.52095018096728,0.746,0.091,0,"22","CTSW"
0,3.50188566735454,0.808,0.104,0,"22","ADGRG6"
0,3.44087570338437,0.799,0.109,0,"22","S100P"
0,3.4372167497941,0.791,0.099,0,"22","HCAR2"
0,3.42816380571835,0.746,0.089,0,"22","CD84"
0,3.36040379207773,0.747,0.094,0,"22","COL9A3"
0,3.33682633496014,0.672,0.087,0,"22","NRG1"
0,3.26189144366766,0.655,0.086,0,"22","SLC2A4"
